doc_label,doc_content
doyle-0-41,lapped hand sat sunlight crossing shins front time let woolly head fall breastbone
doyle-0-42,n't want loitering shade made haste towards station
doyle-0-42,near buildings met white man unexpected elegance get first moment took sort vision
doyle-0-42,saw high starched collar white cuffs light alpaca jacket snowy trousers clean necktie varnished boots
doyle-0-42,hat
doyle-0-42,hair parted brushed oiled green lined parasol held big white hand
doyle-0-42,amazing penholder behind ear
doyle-0-43,shook hands miracle learned company 's chief accountant book keeping done station
doyle-0-43,come moment 'to get breath fresh air
doyle-0-43,expression sounded wonderfully odd suggestion sedentary desk life
doyle-0-43,would n't mentioned fellow lips first heard name man indissolubly connected memories time
doyle-0-43,moreover respected fellow
doyle-0-43,yes respected collars vast cuffs brushed hair
doyle-0-43,appearance certainly hairdresser 's dummy great demoralization land kept appearance
doyle-0-43,'s backbone
doyle-0-43,starched collars got shirt fronts achievements character
doyle-0-43,nearly three years later could help asking managed sport linen
doyle-0-43,faintest blush modestly 've teaching one native women station
doyle-0-43,difficult
doyle-0-43,distaste work
doyle-0-43,thus man verily accomplished something
doyle-0-43,devoted books apple pie order
doyle-0-44,everything else station muddle heads things buildings
doyle-0-44,strings dusty niggers splay feet arrived departed stream manufactured goods rubbishy cottons beads brass wire sent depths darkness return came precious trickle ivory
doyle-0-45,wait station ten days eternity
doyle-0-45,lived hut yard chaos would sometimes get accountant 's office
doyle-0-45,built horizontal planks badly put together bent high desk barred neck heels narrow strips sunlight
doyle-0-45,need open big shutter see
doyle-0-45,hot big flies buzzed fiendishly sting stabbed
doyle-0-45,sat generally floor faultless appearance even slightly scented perching high stool wrote wrote
doyle-0-45,sometimes stood exercise
doyle-0-45,truckle bed sick man invalid agent upcountry put exhibited gentle annoyance
doyle-0-45,'the groans sick person 'distract attention
doyle-0-45,without extremely difficult guard clerical errors climate
doyle-0-46,one day remarked without lifting head 'in interior doubt meet mr
doyle-0-46,kurtz
doyle-0-46,asking mr kurtz first class agent seeing disappointment information added slowly laying pen 'he remarkable person
doyle-0-46,questions elicited mr kurtz present charge trading post important one true ivory country 'the bottom
doyle-0-46,sends much ivory others put together began write
doyle-0-46,sick man ill groan
doyle-0-46,flies buzzed great peace
doyle-0-47,suddenly growing murmur voices great tramping feet
doyle-0-47,caravan come
doyle-0-47,violent babble uncouth sounds burst side planks
doyle-0-47,carriers speaking together midst uproar lamentable voice chief agent heard 'giving tearfully twentieth time day
doyle-0-47,rose slowly
doyle-0-47,'what frightful row
doyle-0-47,crossed room gently look sick man returning 'he hear
doyle-0-47,'what
doyle-0-47,dead
doyle-0-47,asked startled
doyle-0-47,'no yet answered great composure
doyle-0-47,alluding toss head tumult station yard 'when one got make correct entries one comes hate savages hate death
doyle-0-47,remained thoughtful moment
doyle-0-47,'when see mr kurtz went 'tell everything glanced deck satisfactory
doyle-0-47,n't like write messengers never know may get hold letter central station
doyle-0-47,stared moment mild bulging eyes
doyle-0-47,'oh go far far began
doyle-0-47,'he somebody administration long
doyle-0-47,council europe know mean
doyle-0-48,turned work
doyle-0-48,noise outside ceased presently going stopped door
doyle-0-48,steady buzz flies homeward bound agent lying finished insensible bent books making correct entries perfectly correct transactions fifty feet doorstep could see still tree tops grove death
doyle-0-49,next day left station last caravan sixty men two hundred mile tramp
doyle-0-50,use telling much
doyle-0-50,paths paths everywhere stamped network paths spreading empty land long grass burnt grass thickets chilly ravines stony hills ablaze heat solitude solitude nobody hut
doyle-0-50,population cleared long time ago
doyle-0-50,well lot mysterious niggers armed kinds fearful weapons suddenly took travelling road deal gravesend catching yokels right left carry heavy loads fancy every farm cottage thereabouts would get empty soon
doyle-0-50,dwellings gone
doyle-0-50,still passed several abandoned villages
doyle-0-50,'s something pathetically childish ruins grass walls
doyle-0-50,day day stamp shuffle sixty pair bare feet behind pair lb
doyle-0-50,load
doyle-0-50,camp cook sleep strike camp march
doyle-0-50,carrier dead harness rest long grass near path empty water gourd long staff lying side
doyle-0-50,great silence around
doyle-0-50,perhaps quiet night tremor far drums sinking swelling tremor vast faint sound weird appealing suggestive wild perhaps profound meaning sound bells christian country
doyle-0-50,white man unbuttoned uniform camping path armed escort lank zanzibaris hospitable festive say drunk
doyle-0-50,looking upkeep road declared
doyle-0-50,ca n't say saw road upkeep unless body middle aged negro bullet hole forehead upon absolutely stumbled three miles farther may considered permanent improvement
doyle-0-50,white companion bad chap rather fleshy exasperating habit fainting hot hillsides miles away least bit shade water
doyle-0-50,annoying know hold coat like parasol man 's head coming
doyle-0-50,could n't help asking meant coming
doyle-0-50,'to make money course
doyle-0-50,think
doyle-0-50,scornfully
doyle-0-50,got fever carried hammock slung pole
doyle-0-50,weighed sixteen stone end rows carriers
doyle-0-50,jibbed ran away sneaked loads night quite mutiny
